the_geom,FECHA_DE_I,TIPO_DE_IN,CODIGO_ARB,ESPECIE,NOMBRE_COM,MUNICIPIO,COMUNA,BARRIO,DIRECCION,LATITUD,LONGITUD,ESTRATO
POINT (-75.603749 6.22635403),2023 Nov 22 12:00:00 AM,Poda de Mantenimiento,116.140.000.771,Syzygium malaccense,"Pero de agua, pomarroso, pomarroso brasilero, pomarroso brasileño, pomarrosa del Brasil, pera de malaca",Medellín,Belén,La Palma,"Calle 21 N 82-25, frente a la dirección.","6,22635403","-75,603749",3
POINT (-75.6036504 6.22628471),2023 Nov 22 12:00:00 AM,Poda de Mantenimiento,116.130.000.216,Caryota mitis,Cola de pescado,Medellín,Belén,Altavista,Calle 21 N 82 - 09,"6,22628471","-75,6036504",3
POINT (-75.5876732 6.22610882),2023 Nov 28 12:00:00 AM,Poda de Mantenimiento,115.120.011.240,Brugmansia arborea,"Borrachero, borrachero blanco, cacao sabanero, borrachera, floripondio",Medellín,Guayabal,Parque Juan Pablo II,"Carrera 66B entre la Calle 25A y la Calle 25, costado occidental de la vía","6,22610882","-75,5876732",3
POINT (-75.5629568 6.22602662),2023 Jun 13 12:00:00 AM,Poda de Mantenimiento,109.140.020.507,Syagrus sancona,"Palma sancona, sarare, zancona, quirache, saray, palma de sarare",Medellín,Buenos Aires,Asomadera No.1,Carrera 35 N 19-620,"6,22602662","-75,5629568",3
POINT (-75.5415341 6.22596834),2023 Feb 06 12:00:00 AM,Poda de Mantenimiento,109.030.020.042,Senna spectabilis,"Casia amarilla, velero, vainillo, cañafístolo, cañafístol, cañafístola macho",Medellín,Buenos Aires,Bomboná No.2,carrera 7C calle 43E-27 Paralelo a la Cl 43E,"6,22596834","-75,5415341",3
POINT (-75.5748298 6.22581777),2023 May 04 12:00:00 AM,Poda de Mantenimiento,114.010.040.077,Terminalia catappa,"Almendro, almendrón, almendra, almendrillo",Medellín,El Poblado,Barrio Colombia,"Carrera 48 N 24, Zona verde","6,22581777","-75,5748298",3
POINT (-75.6056711 6.22572395),2023 Nov 22 12:00:00 AM,Poda de Mantenimiento,116.130.000.176,Cenostigma pluviosum,"Acacia amarilla, Palo Brasil",Medellín,Belén,Altavista,"Calle 20A N 82D-05, al frente","6,22572395","-75,6056711",3
POINT (-75.5970723 6.2256244),2023 Jan 10 12:00:00 AM,Poda de Mantenimiento,116.050.000.588,Terminalia ivorensis,"Terminalia, almendro ovirensis",Medellín,Belén,San Bernardo,"Carrera 76 N 21A-11, Separador vial","6,2256244","-75,5970723",3
POINT (-75.5430456 6.22554569),2023 Apr 10 12:00:00 AM,Poda de Mantenimiento,109.030.110.565,Zygia longifolia,"Suribio, chíparo, achil, payandé, playero",Medellín,Buenos Aires,Bomboná No.2,"Calle 43d con carrera 8b, cancha de fútbol Caunces de oriente","6,22554569","-75,5430456",3
POINT (-75.5430926 6.22554569),2023 Apr 10 12:00:00 AM,Poda de Mantenimiento,109.030.110.566,Zygia longifolia,"Suribio, chíparo, achil, payandé, playero",Medellín,Buenos Aires,Bomboná No.2,"Calle 43d con carrera 8b, cancha de fútbol Caunces de oriente","6,22554569","-75,5430926",3
POINT (-75.5428572 6.22554369),2023 Apr 05 12:00:00 AM,Poda de Mantenimiento,109.030.110.563,Zygia longifolia,"Suribio, chíparo, achil, payandé, playero",Medellín,Buenos Aires,Bomboná No.2,"Calle 43d con carrera 8b, cancha de fútbol Caunces de oriente","6,22554369","-75,5428572",3
POINT (-75.5767206 6.22532729),2023 Apr 21 12:00:00 AM,Poda de Mantenimiento,115.040.001.569,Leucaena leucocephala,"Acacia blanca, leucaena, panelo, carbonero blanco, acacia forrajera",Medellín,Guayabal,Santa Fé,"Carrera 50 N 25-03, Separador Vial, Autopista Sur.","6,22532729","-75,5767206",3
POINT (-75.5575258 6.27066805),2023 Nov 10 12:00:00 AM,Poda de Mantenimiento,104.100.000.448,Cariniana pyriformis,Abarco,Medellín,Aranjuez,Campo Valdés No.1,Calle 77 N 48A-14,"6,27066805","-75,5575258",3
POINT (-75.5759011 6.22501806),2023 Apr 21 12:00:00 AM,Poda de Mantenimiento,114.030.200.107,Flacourtia indica,"Cerezo del gobernador, ciruela del gobernador, ciruelo del gobernador, uva lisa",Medellín,El Poblado,Villa Carlota,"Carrera 49 N18 - 550, separador vial.","6,22501806","-75,5759011",3
POINT (-75.5759008 6.2249904),2023 Apr 21 12:00:00 AM,Poda de Mantenimiento,114.030.200.106,Flacourtia indica,"Cerezo del gobernador, ciruela del gobernador, ciruelo del gobernador, uva lisa",Medellín,El Poblado,Villa Carlota,Carrera 49 N18 - 550.,"6,2249904","-75,5759008",3
POINT (-75.5820303 6.22493686),2023 Aug 24 12:00:00 AM,Poda de Mantenimiento,115.030.000.812,Desconocida,_,Medellín,Guayabal,Trinidad,Calle 23 N 58-06,"6,22493686","-75,5820303",3
POINT (-75.5759088 6.22491407),2023 Jun 29 12:00:00 AM,Poda de Mantenimiento,114.030.200.103,Ficus lyrata,"Caucho lira, lirata, pandurata, ficus lira",Medellín,El Poblado,Villa Carlota,Carrera 49 N 20-68,"6,22491407","-75,5759088",3
POINT (-75.5759185 6.22484941),2023 Jun 29 12:00:00 AM,Poda de Mantenimiento,114.030.200.101,Ficus lyrata,"Caucho lira, lirata, pandurata, ficus lira",Medellín,El Poblado,Villa Carlota,Carrera 49 N 20-68,"6,22484941","-75,5759185",3
POINT (-75.5827029 6.22451646),2023 Aug 12 12:00:00 AM,Poda de Mantenimiento,115.040.740.050,Leucaena leucocephala,"Acacia blanca, leucaena, panelo, carbonero blanco, acacia forrajera",Medellín,Guayabal,Santa Fé,"Calle 22 N 59-05, al frente en la parte de atrás de la Cancha polideportiva Santa Fé","6,22451646","-75,5827029",3
