the_geom,FECHA_DE_I,TIPO_DE_IN,CODIGO_ARB,ESPECIE,NOMBRE_COM,MUNICIPIO,COMUNA,BARRIO,DIRECCION,LATITUD,LONGITUD,ESTRATO
POINT (-75.6077321 6.25633013),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.000.388,Brownea stenantha,"Ariza, Florisanto, Clavellino",Medellín,La América,Santa Lucía,Calle 47A N 91-18 pasando la calle,"6,25633013","-75,6077321",3
POINT (-75.5615338 6.25632809),2023 Jul 18 12:00:00 AM,Poda de Mantenimiento,110.010.002.098,Malpighia glabra,"Huesito, cerezo, cereza, cerezo silvestre, cereza montañera, huesito glabra",Medellín,La Candelaria,Prado,Calle 60 N 47-15,"6,25632809","-75,5615338",4
POINT (-75.6066743 6.25632779),2023 Oct 17 12:00:00 AM,Poda de Mantenimiento,112.060.000.296,Azadirachta indica,"Neem, nim, árbol de neem, margosa, paraiso de la india",Medellín,La América,Santa Lucía,Calle 47A N 90-22 pasando la calle,"6,25632779","-75,6066743",3
POINT (-75.6072392 6.25632513),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.000.403,Mangifera indica,"Mango, mango canime, mango chancleto, mango de azúcar, mango de chupa",Medellín,La América,Santa Lucía,Calle 47A N 90B-12 pasando la calle,"6,25632513","-75,6072392",3
POINT (-75.6068097 6.2563178),2023 Oct 17 12:00:00 AM,Poda de Mantenimiento,112.060.000.410,Spathodea campanulata,"Tulipán Africano, Miona",Medellín,La América,Santa Lucía,Calle 47A N 90A-06 pasando la calle,"6,2563178","-75,6068097",3
POINT (-75.5615157 6.25631542),2023 Jul 18 12:00:00 AM,Poda de Mantenimiento,110.010.002.097,Malpighia glabra,"Huesito, cerezo, cereza, cerezo silvestre, cereza montañera, huesito glabra",Medellín,La Candelaria,Prado,Calle 60 N 47-15,"6,25631542","-75,5615157",4
POINT (-75.6080669 6.25631289),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.000.268,Mangifera indica,"Mango, mango canime, mango chancleto, mango de azúcar, mango de chupa",Medellín,La América,Santa Lucía,Calle 47A N 91-56 pasando la calle,"6,25631289","-75,6080669",3
POINT (-75.6081751 6.25631258),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.000.262,Zygia longifolia,"Suribio, chíparo, achil, payandé, playero",Medellín,La América,Santa Lucía,Calle 47A N 91-62 pasando la calle,"6,25631258","-75,6081751",3
POINT (-75.5843817 6.25631037),2023 Oct 10 12:00:00 AM,Poda de Mantenimiento,111.020.000.410,Cojoba arborea,"Carbonero zorro, cojoba, dormilón",Medellín,Laureles Estadio,Suramericana,Carrera 67B N 48D-101,"6,25631037","-75,5843817",3
POINT (-75.6073016 6.2563098),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.000.402,Handroanthus chrysanthus,"Guayacán amarillo, cañaguate, guayacán, chicalá, polvillo",Medellín,La América,Santa Lucía,Calle 47A N 90B-12 pasando la calle,"6,2563098","-75,6073016",3
POINT (-75.5753898 6.2563095),2023 Jul 07 12:00:00 AM,Poda de Mantenimiento,110.060.000.262,Diospyros virginiana,"Zapote negro, limpia dientes",Medellín,La Candelaria,San Benito,"Carrera 62 N 53A-02, Avenida regional, separador centra entre la carrera 59 y carrera","6,2563095","-75,5753898",3
POINT (-75.6120887 6.25630943),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.030.228,Melaleuca quinquenervia,"Arbol de corcho, calistemo blanco, corcho, eucalipto de flor",Medellín,La América,Santa Lucía,"Calle 47A entre carrera 95 y Carrera 93, Zona verde","6,25630943","-75,6120887",3
POINT (-75.6074883 6.25630746),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.000.395,Mangifera indica,"Mango, mango canime, mango chancleto, mango de azúcar, mango de chupa",Medellín,La América,Santa Lucía,Calle 47A N 91-8 pasando la calle,"6,25630746","-75,6074883",3
POINT (-75.6082873 6.2563068),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.000.382,Psidium guajava,"Guayabo, guayaba, guayaba común, guayaba dulce, guayaba manzana",Medellín,La América,Santa Lucía,Calle 47A N 91-62 pasando la calle,"6,2563068","-75,6082873",3
POINT (-75.607091 6.2563018),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.000.404,Annona muricata,"Guanábana, guanábano",Medellín,La América,Santa Lucía,Calle 47A N 90A-22 pasando la calle,"6,2563018","-75,607091",3
POINT (-75.6081089 6.2563008),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.000.383,Eriobotrya japonica,"Níspero del japón, níspero japonés, nisperito, níspero",Medellín,La América,Santa Lucía,Calle 47A N 91-62 pasando la calle,"6,2563008","-75,6081089",3
POINT (-75.6086615 6.25629447),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.000.303,Bauhinia picta,"Casco de vaca, pata de vaca, pata de buey",Medellín,La América,Santa Lucía,Calle 47A N 92-8 pasando la calle,"6,25629447","-75,6086615",3
POINT (-75.6119868 6.25629276),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.030.185,Schinus terebinthifolia,"Turibinto, falso pimiento, pimiento, terebinto, pimineto negro",Medellín,La América,Santa Lucía,"Calle 47A entre carrera 95 y Carrera 93, Zona verde","6,25629276","-75,6119868",3
POINT (-75.5614808 6.25629209),2023 Jul 18 12:00:00 AM,Poda de Mantenimiento,110.010.002.096,Syagrus romanzoffiana,"Palma reina, coco plumoso, palma de azúcar",Medellín,La Candelaria,Prado,Calle 60 N 47-15,"6,25629209","-75,5614808",4
POINT (-75.6069375 6.25629062),2023 Oct 17 12:00:00 AM,Poda de Mantenimiento,112.060.020.668,Azadirachta indica,"Neem, nim, árbol de neem, margosa, paraiso de la india",Medellín,La América,Santa Lucía,Calle 47A N 90A-16 pasando la calle,"6,25629062","-75,6069375",3
POINT (-75.5911153 6.25628866),2023 Sep 26 12:00:00 AM,Poda de Mantenimiento,111.160.040.324,Cenostigma pluviosum,"Acacia amarilla, Palo Brasil",Medellín,Laureles Estadio,U.D. Atanasio Girardot,Carrera 72 N 48. Puerta 10 Atanasio Girardot,"6,25628866","-75,5911153",3
POINT (-75.6072252 6.25628571),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.000.327,Lafoensia acuminata,"Guayacan manizaleño, Arrayan de Manizales",Medellín,La América,Santa Lucía,Calle 47A N 90B-6 pasando la calle,"6,25628571","-75,6072252",3
POINT (-75.6089832 6.25628162),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.000.372,Syzygium malaccense,"Pero de agua, pomarroso, pomarroso brasilero, pomarroso brasileño, pomarrosa del Brasil, pera de malaca",Medellín,La América,Santa Lucía,Calle 47A N 92A-08 pasando la calle,"6,25628162","-75,6089832",3
POINT (-75.5613219 6.25628009),2023 Jul 18 12:00:00 AM,Poda de Mantenimiento,110.010.002.094,Pithecellobium dulce,"Chiminango, payandé, gallinero, acacia tunuda, azabache",Medellín,La Candelaria,Prado,Calle 60 N 47-14,"6,25628009","-75,5613219",4
POINT (-75.6119204 6.2562781),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.030.186,Schinus terebinthifolia,"Turibinto, falso pimiento, pimiento, terebinto, pimineto negro",Medellín,La América,Santa Lucía,"Calle 47A entre carrera 95 y Carrera 93, Zona verde","6,2562781","-75,6119204",3
POINT (-75.6090392 6.25627713),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.000.225,Syzygium malaccense,"Pero de agua, pomarroso, pomarroso brasilero, pomarroso brasileño, pomarrosa del Brasil, pera de malaca",Medellín,La América,Santa Lucía,Calle 47A N 92A-08 pasando la calle,"6,25627713","-75,6090392",3
POINT (-75.6074714 6.25627607),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.000.266,Mangifera indica,"Mango, mango canime, mango chancleto, mango de azúcar, mango de chupa",Medellín,La América,Santa Lucía,Calle 47A N 91-8 pasando la calle,"6,25627607","-75,6074714",3
POINT (-75.6080332 6.25627547),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.000.384,Spathodea campanulata,"Tulipán Africano, Miona",Medellín,La América,Santa Lucía,Calle 47A N 91-56 pasando la calle,"6,25627547","-75,6080332",3
POINT (-75.6079581 6.25627414),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.020.909,Azadirachta indica,"Neem, nim, árbol de neem, margosa, paraiso de la india",Medellín,La América,Santa Lucía,Calle 47A N 91-46 pasando la calle,"6,25627414","-75,6079581",3
POINT (-75.6084134 6.25627147),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.020.907,Zygia longifolia,"Suribio, chíparo, achil, payandé, playero",Medellín,La América,Santa Lucía,Calle 47A N 91C-18 pasando la calle,"6,25627147","-75,6084134",3
POINT (-75.6094692 6.25626927),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.000.368,Pithecellobium dulce,"Chiminango, payandé, gallinero, acacia tunuda, azabache",Medellín,La América,Santa Lucía,Calle 47A N 92C-10 andén del frente,"6,25626927","-75,6094692",3
POINT (-75.6091091 6.25626763),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.000.226,Eriobotrya japonica,"Níspero del japón, níspero japonés, nisperito, níspero",Medellín,La América,Santa Lucía,Calle 47A N 92A-10 enfrente,"6,25626763","-75,6091091",3
POINT (-75.6070662 6.25626599),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.000.287,Terminalia catappa,"Almendro, almendrón, almendra, almendrillo",Medellín,La América,Santa Lucía,Calle 47A N 90A-22 pasando la calle,"6,25626599","-75,6070662",3
POINT (-75.6093659 6.25626527),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.000.369,Syzygium malaccense,"Pero de agua, pomarroso, pomarroso brasilero, pomarroso brasileño, pomarrosa del Brasil, pera de malaca",Medellín,La América,Santa Lucía,Calle 47A N 92A-24 andén del frente,"6,25626527","-75,6093659",3
POINT (-75.5740809 6.25626455),2023 May 23 12:00:00 AM,Poda de Mantenimiento,110.060.001.319,Ficus benjamina,"Falso laurel, ficus, laurel, caucho benjamín",Medellín,La Candelaria,San Benito,"Calle 54 N 57-60, centro comercial Medellín al frente del local 345","6,25626455","-75,5740809",3
POINT (-75.6092583 6.25625494),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.000.227,Erythrina fusca,"Búcaro, chambul, cachimbo, pisamo",Medellín,La América,Santa Lucía,Calle 47A N 92A-24 andén del frente,"6,25625494","-75,6092583",3
POINT (-75.609215 6.25625361),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.000.371,Dypsis lutescens,Palma areca,Medellín,La América,Santa Lucía,Calle 47A N 92A-24 andén del frente,"6,25625361","-75,609215",3
POINT (-75.5720669 6.25625168),2023 May 13 12:00:00 AM,Poda de Mantenimiento,110.060.001.122,Fraxinus uhdei,"Urapán, fresno urapán, fresno",Medellín,La Candelaria,San Benito,Carrera 56A N 55-47.,"6,25625168","-75,5720669",3
POINT (-75.5719783 6.25624692),2023 May 13 12:00:00 AM,Poda de Mantenimiento,110.060.001.305,Fraxinus uhdei,"Urapán, fresno urapán, fresno",Medellín,La Candelaria,San Benito,Carrera 56A N 55-48.,"6,25624692","-75,5719783",3
POINT (-75.6117689 6.2562441),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.030.188,Inga acrocephala,Guamo,Medellín,La América,Santa Lucía,"Calle 47A entre carrera 95 y Carrera 93, Zona verde","6,2562441","-75,6117689",3
POINT (-75.6087667 6.25624181),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.000.375,Cocos nucifera,Palma de coco,Medellín,La América,Santa Lucía,Calle 47A N 92-8 pasando la calle,"6,25624181","-75,6087667",3
POINT (-75.5740949 6.25624121),2023 May 23 12:00:00 AM,Poda de Mantenimiento,110.060.001.322,Ficus benjamina,"Falso laurel, ficus, laurel, caucho benjamín",Medellín,La Candelaria,San Benito,"Calle 54 N 57-60, centro comercial Medellín al frente del local 345","6,25624121","-75,5740949",3
POINT (-75.6284503 6.25623826),2023 Oct 17 12:00:00 AM,Poda de realce,113.160.260.414,Syzygium malaccense,"Pero de agua, pomarroso, pomarroso brasilero, pomarroso brasileño, pomarrosa del Brasil, pera de malaca",Medellín,San Javier,El Salado,Calle 42 N 116D-40 Costado Oriental de T10,"6,25623826","-75,6284503",3
POINT (-75.6093015 6.25623794),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.000.370,Araucaria heterophylla,"Araucaria, Araucaria Real, pino de la isla de Norfolk",Medellín,La América,Santa Lucía,Calle 47A N 92A-24 andén del frente,"6,25623794","-75,6093015",3
POINT (-75.6100972 6.25623344),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.000.105,Lafoensia acuminata,"Guayacan manizaleño, Arrayan de Manizales",Medellín,La América,Santa Lucía,"Calle  47A entre carrera 93 y carrera 95, zona verde","6,25623344","-75,6100972",3
POINT (-75.5568592 6.2562319),2023 Mar 27 12:00:00 AM,Poda de Mantenimiento,108.030.000.532,Fraxinus uhdei,"Urapán, fresno urapán, fresno",Medellín,Villa Hermosa,San Miguel,Calle 63 N 42-40,"6,2562319","-75,5568592",3
POINT (-75.6085254 6.25623114),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.020.662,Syzygium malaccense,"Pero de agua, pomarroso, pomarroso brasilero, pomarroso brasileño, pomarrosa del Brasil, pera de malaca",Medellín,La América,Santa Lucía,Calle 47A N 91C-18 pasando la calle,"6,25623114","-75,6085254",3
POINT (-75.608117 6.25622814),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.000.389,Iochroma arborescens,"Tomatoquina, frutogallino, borrachero",Medellín,La América,Santa Lucía,Calle 47A N 91-62 pasando la calle,"6,25622814","-75,608117",3
POINT (-75.5754328 6.25622685),2023 Jul 07 12:00:00 AM,Poda de Mantenimiento,110.060.280.025,Diospyros virginiana,"Zapote negro, limpia dientes",Medellín,La Candelaria,San Benito,Carrera 62 N 53A-02,"6,25622685","-75,5754328",3
POINT (-75.610183 6.25622677),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.000.366,Melaleuca quinquenervia,"Arbol de corcho, calistemo blanco, corcho, eucalipto de flor",Medellín,La América,Santa Lucía,"Calle 47A N 95 -93, Zona verde","6,25622677","-75,610183",3
POINT (-75.6102327 6.25622277),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.000.365,Melaleuca quinquenervia,"Arbol de corcho, calistemo blanco, corcho, eucalipto de flor",Medellín,La América,Santa Lucía,"Calle 47A N 95 -93, Zona verde","6,25622277","-75,6102327",3
POINT (-75.6102997 6.25622211),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.000.364,Pithecellobium dulce,"Chiminango, payandé, gallinero, acacia tunuda, azabache",Medellín,La América,Santa Lucía,"Calle 47A N 95 -93, Zona verde","6,25622211","-75,6102997",3
POINT (-75.6115845 6.25621678),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.030.229,Bauhinia picta,"Casco de vaca, pata de vaca, pata de buey",Medellín,La América,Santa Lucía,"Calle 47A entre carrera 95 y Carrera 93, Zona verde","6,25621678","-75,6115845",3
POINT (-75.611502 6.25621611),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.030.230,Bauhinia picta,"Casco de vaca, pata de vaca, pata de buey",Medellín,La América,Santa Lucía,"Calle 47A N 95 -93, Zona verde","6,25621611","-75,611502",3
POINT (-75.6114008 6.25621611),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.030.231,Bauhinia picta,"Casco de vaca, pata de vaca, pata de buey",Medellín,La América,Santa Lucía,"Calle 47A N 95 -93, Zona verde","6,25621611","-75,6114008",3
POINT (-75.6114008 6.25621611),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.030.231,Bauhinia picta,"Casco de vaca, pata de vaca, pata de buey",Medellín,La América,Santa Lucía,"Calle 47A entre carrera 95 y Carrera 93, Zona verde","6,25621611","-75,6114008",3
POINT (-75.611502 6.25621611),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.030.230,Bauhinia picta,"Casco de vaca, pata de vaca, pata de buey",Medellín,La América,Santa Lucía,"Calle 47A entre carrera 95 y Carrera 93, Zona verde","6,25621611","-75,611502",3
POINT (-75.6095541 6.25621561),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.000.367,Mangifera indica,"Mango, mango canime, mango chancleto, mango de azúcar, mango de chupa",Medellín,La América,Santa Lucía,Calle 47A N 92C-18 andén del frente,"6,25621561","-75,6095541",3
POINT (-75.5851601 6.25621429),2023 Oct 10 12:00:00 AM,Poda de Mantenimiento,111.020.000.026,Ficus benjamina,"Falso laurel, ficus, laurel, caucho benjamín",Medellín,Laureles Estadio,Suramericana,Calle 49 N 68-13,"6,25621429","-75,5851601",3
POINT (-75.6116495 6.25621011),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.030.223,Zygia longifolia,"Suribio, chíparo, achil, payandé, playero",Medellín,La América,Santa Lucía,"Calle 47A entre carrera 95 y Carrera 93, Zona verde","6,25621011","-75,6116495",3
POINT (-75.608928 6.25620591),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.020.659,Mangifera indica,"Mango, mango canime, mango chancleto, mango de azúcar, mango de chupa",Medellín,La América,Santa Lucía,Calle 47A N 92-28 pasando la calle,"6,25620591","-75,608928",3
POINT (-75.6109253 6.25620344),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.030.235,Spathodea campanulata,"Tulipán Africano, Miona",Medellín,La América,Santa Lucía,"Calle 47A entre carrera 95 y Carrera 93, Zona verde","6,25620344","-75,6109253",3
POINT (-75.6285985 6.25620293),2023 Oct 17 12:00:00 AM,Poda de realce,113.160.260.416,Syzygium malaccense,"Pero de agua, pomarroso, pomarroso brasilero, pomarroso brasileño, pomarrosa del Brasil, pera de malaca",Medellín,San Javier,El Salado,Calle 42 N 116D-40 Costado Oriental de T10,"6,25620293","-75,6285985",3
POINT (-75.6098706 6.2562021),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.000.298,Lafoensia punicifolia,"Guayacán de Manizales, guayacán del Cauca, arrayán escobo, pelincú",Medellín,La América,Santa Lucía,"Calle 47A N 95 -93, Zona verde","6,2562021","-75,6098706",3
POINT (-75.5627039 6.2562016),2023 Jun 14 12:00:00 AM,Poda de Mantenimiento,110.010.001.928,Mangifera indica,"Mango, mango canime, mango chancleto, mango de azúcar, mango de chupa",Medellín,La Candelaria,Prado,Calle 59 N 48-56,"6,2562016","-75,5627039",4
POINT (-75.6091227 6.25620053),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.020.656,Mangifera indica,"Mango, mango canime, mango chancleto, mango de azúcar, mango de chupa",Medellín,La América,Santa Lucía,Calle 47A N 92A-08 pasando la calle,"6,25620053","-75,6091227",3
POINT (-75.6104908 6.25620011),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.000.363,Lafoensia acuminata,"Guayacan manizaleño, Arrayan de Manizales",Medellín,La América,Santa Lucía,"Calle 47A entre carrera 95 y Carrera 93, Zona verde","6,25620011","-75,6104908",3
POINT (-75.6105552 6.25619611),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.000.362,Lafoensia acuminata,"Guayacan manizaleño, Arrayan de Manizales",Medellín,La América,Santa Lucía,"Calle 47A entre carrera 95 y Carrera 93, Zona verde","6,25619611","-75,6105552",3
POINT (-75.6112217 6.25619545),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.030.234,Mangifera indica,"Mango, mango canime, mango chancleto, mango de azúcar, mango de chupa",Medellín,La América,Santa Lucía,"Calle 47A N 95 -93, Zona verde","6,25619545","-75,6112217",3
POINT (-75.6092431 6.25619377),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.020.654,Cojoba arborea,"Carbonero zorro, cojoba, dormilón",Medellín,La América,Santa Lucía,Calle 47A N 92A-24 andén del frente,"6,25619377","-75,6092431",3
POINT (-75.6094555 6.25619178),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.000.177,Mangifera indica,"Mango, mango canime, mango chancleto, mango de azúcar, mango de chupa",Medellín,La América,Santa Lucía,Calle 47A N 92C-18 andén del frente,"6,25619178","-75,6094555",3
POINT (-75.6093102 6.25619177),2023 Oct 15 12:00:00 AM,Poda de Mantenimiento,112.060.020.653,Eriobotrya japonica,"Níspero del japón, níspero japonés, nisperito, níspero",Medellín,La América,Santa Lucía,Calle 47A N 92A-24 andén del frente,"6,25619177","-75,6093102",3
POINT (-75.6106263 6.25618878),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.000.360,Mangifera indica,"Mango, mango canime, mango chancleto, mango de azúcar, mango de chupa",Medellín,La América,Santa Lucía,"Calle 47A entre carrera 95 y Carrera 93, Zona verde","6,25618878","-75,6106263",3
POINT (-75.6109226 6.25618811),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.000.358,Spathodea campanulata,"Tulipán Africano, Miona",Medellín,La América,Santa Lucía,"Calle 47A entre carrera 95 y Carrera 93, Zona verde","6,25618811","-75,6109226",3
POINT (-75.5741356 6.25618638),2023 May 23 12:00:00 AM,Poda de Mantenimiento,110.060.001.318,Ficus benjamina,"Falso laurel, ficus, laurel, caucho benjamín",Medellín,La Candelaria,San Benito,"Calle 54 N 57-60, centro comercial Medellín, en toda la esquina","6,25618638","-75,5741356",3
POINT (-75.6111848 6.25618611),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.000.356,Melicoccus bijugatus,"Mamoncillo, Mamon",Medellín,La América,Santa Lucía,"Calle 47A N 95 -93, Zona verde","6,25618611","-75,6111848",3
POINT (-75.6106839 6.25618473),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.000.242,Lafoensia acuminata,"Guayacan manizaleño, Arrayan de Manizales",Medellín,La América,Santa Lucía,"Calle 47A entre carrera 95 y Carrera 93, Zona verde","6,25618473","-75,6106839",3
POINT (-75.6108529 6.25618145),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.000.359,Melaleuca quinquenervia,"Arbol de corcho, calistemo blanco, corcho, eucalipto de flor",Medellín,La América,Santa Lucía,"Calle 47A entre carrera 95 y Carrera 93, Zona verde","6,25618145","-75,6108529",3
POINT (-75.6107308 6.2561814),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.000.241,Lafoensia punicifolia,"Guayacán de Manizales, guayacán del Cauca, arrayán escobo, pelincú",Medellín,La América,Santa Lucía,"Calle 47A entre carrera 95 y Carrera 93, Zona verde","6,2561814","-75,6107308",3
POINT (-75.5628302 6.25617646),2023 Jun 14 12:00:00 AM,Poda de Mantenimiento,110.010.001.935,Melicoccus bijugatus,"Mamoncillo, Mamon",Medellín,La Candelaria,Prado,"Calle 59 N 48-66, al frente","6,25617646","-75,5628302",4
POINT (-75.6099512 6.25616969),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.000.020,Lafoensia punicifolia,"Guayacán de Manizales, guayacán del Cauca, arrayán escobo, pelincú",Medellín,La América,Santa Lucía,"Calle  47A entre carrera 93 y carrera 95, zona verde","6,25616969","-75,6099512",3
POINT (-75.6101587 6.25615925),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.000.014,Lafoensia punicifolia,"Guayacán de Manizales, guayacán del Cauca, arrayán escobo, pelincú",Medellín,La América,Santa Lucía,"Calle  47A entre carrera 93 y carrera 95, zona verde","6,25615925","-75,6101587",3
POINT (-75.6100738 6.25615903),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.000.229,Lafoensia punicifolia,"Guayacán de Manizales, guayacán del Cauca, arrayán escobo, pelincú",Medellín,La América,Santa Lucía,"Calle  47A entre carrera 93 y carrera 95, zona verde","6,25615903","-75,6100738",3
POINT (-75.6101856 6.25615858),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.000.341,Lafoensia acuminata,"Guayacan manizaleño, Arrayan de Manizales",Medellín,La América,Santa Lucía,"Calle  47A entre carrera 93 y carrera 95, zona verde","6,25615858","-75,6101856",3
POINT (-75.6101281 6.25615503),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.000.015,Lafoensia punicifolia,"Guayacán de Manizales, guayacán del Cauca, arrayán escobo, pelincú",Medellín,La América,Santa Lucía,"Calle  47A entre carrera 93 y carrera 95, zona verde","6,25615503","-75,6101281",3
POINT (-75.6102924 6.25615155),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.000.012,Lafoensia punicifolia,"Guayacán de Manizales, guayacán del Cauca, arrayán escobo, pelincú",Medellín,La América,Santa Lucía,"Calle  47A entre carrera 93 y carrera 95, zona verde","6,25615155","-75,6102924",3
POINT (-75.5613823 6.25615012),2023 Jul 18 12:00:00 AM,Poda de Mantenimiento,110.010.002.093,Pachira aquatica,Cacao de monte,Medellín,La Candelaria,Prado,Carrera 47 N 59-75,"6,25615012","-75,5613823",4
POINT (-75.6102073 6.25614844),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.000.013,Lafoensia punicifolia,"Guayacán de Manizales, guayacán del Cauca, arrayán escobo, pelincú",Medellín,La América,Santa Lucía,"Calle  47A entre carrera 93 y carrera 95, zona verde","6,25614844","-75,6102073",3
POINT (-75.6103437 6.25614788),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.000.009,Lafoensia punicifolia,"Guayacán de Manizales, guayacán del Cauca, arrayán escobo, pelincú",Medellín,La América,Santa Lucía,"Calle  47A entre carrera 93 y carrera 95, zona verde","6,25614788","-75,6103437",3
POINT (-75.6103913 6.2561467),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.000.008,Lafoensia punicifolia,"Guayacán de Manizales, guayacán del Cauca, arrayán escobo, pelincú",Medellín,La América,Santa Lucía,"Calle  47A entre carrera 93 y carrera 95, zona verde","6,2561467","-75,6103913",3
POINT (-75.6104674 6.25614037),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.000.007,Lafoensia punicifolia,"Guayacán de Manizales, guayacán del Cauca, arrayán escobo, pelincú",Medellín,La América,Santa Lucía,"Calle  47A entre carrera 93 y carrera 95, zona verde","6,25614037","-75,6104674",3
POINT (-75.6106012 6.25613766),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.000.003,Lafoensia punicifolia,"Guayacán de Manizales, guayacán del Cauca, arrayán escobo, pelincú",Medellín,La América,Santa Lucía,"Calle 47A N 95 -93, Zona verde","6,25613766","-75,6106012",3
POINT (-75.6105519 6.25613737),2023 Oct 14 12:00:00 AM,Poda de Mantenimiento,112.060.000.005,Lafoensia punicifolia,"Guayacán de Manizales, guayacán del Cauca, arrayán escobo, pelincú",Medellín,La América,Santa Lucía,"Calle  47A entre carrera 93 y carrera 95, zona verde","6,25613737","-75,6105519",3
POINT (-75.6289543 6.25613728),2023 Oct 17 12:00:00 AM,Poda de realce,113.160.260.408,Syzygium malaccense,"Pero de agua, pomarroso, pomarroso brasilero, pomarroso brasileño, pomarrosa del Brasil, pera de malaca",Medellín,San Javier,El Salado,Calle 42 N 116D-40 Costado Oriental del acopio de basura,"6,25613728","-75,6289543",3
POINT (-75.628906 6.25613661),2023 Oct 17 12:00:00 AM,Poda de realce,113.160.260.407,Syzygium malaccense,"Pero de agua, pomarroso, pomarroso brasilero, pomarroso brasileño, pomarrosa del Brasil, pera de malaca",Medellín,San Javier,El Salado,Calle 42 N 116D-40 Costado Norte T14,"6,25613661","-75,628906",3
